season,lg,team,abbreviation,playoffs,franchise_id
2026,NBA,Atlanta Hawks,ATL,False,ATL
2026,NBA,Boston Celtics,BOS,False,BOS
2026,NBA,Brooklyn Nets,BRK,False,BRK
2026,NBA,Chicago Bulls,CHI,False,CHI
2026,NBA,Charlotte Hornets,CHO,False,CHA
2026,NBA,Cleveland Cavaliers,CLE,False,CLE
2026,NBA,Dallas Mavericks,DAL,False,DAL
2026,NBA,Denver Nuggets,DEN,False,DEN
2026,NBA,Detroit Pistons,DET,True,DET
2026,NBA,Golden State Warriors,GSW,False,GSW
2026,NBA,Houston Rockets,HOU,False,HOU
2026,NBA,Indiana Pacers,IND,False,IND
2026,NBA,Los Angeles Clippers,LAC,False,LAC
2026,NBA,Los Angeles Lakers,LAL,False,LAL
2026,NBA,Memphis Grizzlies,MEM,False,MEM
2026,NBA,Miami Heat,MIA,False,MIA
2026,NBA,Milwaukee Bucks,MIL,False,MIL
2026,NBA,Minnesota Timberwolves,MIN,False,MIN
2026,NBA,New Orleans Pelicans,NOP,False,NOP
2026,NBA,New York Knicks,NYK,False,NYK
2026,NBA,Oklahoma City Thunder,OKC,True,OKC
2026,NBA,Orlando Magic,ORL,False,ORL
2026,NBA,Philadelphia 76ers,PHI,False,PHI
2026,NBA,Phoenix Suns,PHO,False,PHO
2026,NBA,Portland Trail Blazers,POR,False,POR
2026,NBA,Sacramento Kings,SAC,False,SAC
2026,NBA,San Antonio Spurs,SAS,True,SAS
2026,NBA,Toronto Raptors,TOR,False,TOR
2026,NBA,Utah Jazz,UTA,False,UTA
2026,NBA,Washington Wizards,WAS,False,WAS
2025,NBA,Atlanta Hawks,ATL,True,ATL
2025,NBA,Boston Celtics,BOS,True,BOS
2025,NBA,Brooklyn Nets,BRK,False,BRK
2025,NBA,Chicago Bulls,CHI,True,CHI
2025,NBA,Charlotte Hornets,CHO,False,CHA
2025,NBA,Cleveland Cavaliers,CLE,True,CLE
2025,NBA,Dallas Mavericks,DAL,True,DAL
2025,NBA,Denver Nuggets,DEN,True,DEN
2025,NBA,Detroit Pistons,DET,True,DET
2025,NBA,Golden State Warriors,GSW,True,GSW
2025,NBA,Houston Rockets,HOU,True,HOU
2025,NBA,Indiana Pacers,IND,True,IND
2025,NBA,Los Angeles Clippers,LAC,True,LAC
2025,NBA,Los Angeles Lakers,LAL,True,LAL
2025,NBA,Memphis Grizzlies,MEM,True,MEM
2025,NBA,Miami Heat,MIA,True,MIA
2025,NBA,Milwaukee Bucks,MIL,True,MIL
